iter	RMSE
0	72476.69432
1	68009.17871
2	64191.00006
3	60264.14955
4	56968.94074
5	53927.60615
6	51287.31886
7	48884.24697
8	46716.14497
9	44804.12239
10	42756.31379
11	41081.97328
12	39488.42716
13	38156.84192
14	36844.40424
15	35689.59771
16	34690.18443
17	33868.46856
18	33019.0865
19	32068.52041
20	31037.78902
21	30211.22217
22	29523.93157
23	28804.26465
24	28190.87249
25	27502.3628
26	26927.95319
27	26484.3317
28	26060.71362
29	25670.6293
30	25139.63045
31	24751.22495
32	24493.52313
33	23953.53471
34	23609.7667
35	23226.1989
36	22920.65897
37	22659.47516
38	22428.22597
39	22198.78043
40	21979.02136
41	21732.13576
42	21442.64532
43	21179.18265
44	20913.30524
45	20726.02912
46	20586.55602
47	20304.36224
48	20103.85372
49	19934.82741
50	19723.45204
51	19569.56467
52	19421.22164
53	19297.154
54	19183.30117
55	19044.7423
56	18871.11183
57	18755.16874
58	18609.75203
59	18423.78648
60	18269.26824
61	18193.89103
62	18029.83235
63	17889.74833
64	17787.71399
65	17721.98918
66	17654.21009
67	17585.97202
68	17486.56873
69	17383.10346
70	17309.61655
71	17169.23009
72	17055.89287
73	16959.1907
74	16888.40534
75	16861.44952
76	16762.27993
77	16581.37115
78	16441.11329
79	16299.47501
80	16190.22122
81	16100.18846
82	16013.04177
83	15915.09603
84	15804.3933
85	15716.51745
86	15618.56572
87	15431.77
88	15303.8046
89	15085.74471
90	15005.98485
91	14882.71675
92	14822.72953
93	14705.28429
94	14580.39214
95	14501.98985
96	14477.34858
97	14423.43765
98	14336.51019
99	14246.83783
100	14138.65477
101	14069.40111
102	14048.85862
103	14026.83213
104	13968.85276
105	13869.06318
106	13853.03754
107	13824.80545
108	13811.11475
109	13763.3314
110	13700.67791
111	13662.67443
112	13524.02918
113	13477.14967
114	13306.45225
115	13231.02263
116	13162.19253
117	13148.98973
118	13087.97258
119	13020.05904
120	12967.79826
121	12955.99725
122	12885.96866
123	12846.00202
124	12764.29498
125	12719.57279
126	12654.62225
127	12551.96311
128	12481.03377
129	12459.68536
130	12361.19876
131	12302.64475
132	12276.05675
133	12267.1544
134	12149.40625
135	12117.1654
136	12054.92374
137	11992.95828
138	11958.53755
139	11890.2361
140	11809.3448
141	11739.57454
142	11686.64805
143	11671.44134
144	11587.1683
145	11578.93337
146	11574.28454
147	11510.45123
148	11489.82717
149	11433.57239
150	11384.94782
151	11341.33208
152	11318.75028
153	11281.25811
154	11251.47182
155	11195.97917
156	11154.94152
157	11108.62674
158	11049.77227
159	11044.73842
160	10943.36689
161	10897.70758
162	10838.0348
163	10796.15109
164	10727.72249
165	10698.67576
166	10668.15942
167	10617.29206
168	10553.48152
169	10536.32716
170	10507.66805
171	10449.05731
172	10424.00127
173	10408.40219
174	10358.25348
175	10352.07761
176	10319.81184
177	10304.96504
178	10278.98565
179	10276.24292
180	10266.00075
181	10216.40199
182	10174.49033
183	10142.06607
184	10089.84149
185	10048.77965
186	10010.07346
187	9957.813587
188	9915.621938
189	9876.540295
190	9799.594709
191	9789.544868
192	9749.660148
193	9744.888443
194	9734.343877
195	9705.70453
196	9656.169316
197	9613.639345
198	9573.721014
199	9538.409228
200	9479.44281
201	9435.14663
202	9390.610616
203	9389.500592
204	9326.886955
205	9294.118648
206	9283.916806
207	9249.711334
208	9223.524282
209	9209.608268
210	9207.622702
211	9161.688179
212	9149.265447
213	9120.66345
214	9060.024546
215	9025.22618
216	8972.691184
217	8965.964004
218	8925.239229
219	8919.247207
220	8904.402176
221	8869.311265
222	8817.950808
223	8776.327224
224	8767.694957
225	8742.558295
226	8714.039189
227	8673.563796
228	8615.553534
229	8577.431061
230	8523.072707
231	8488.426993
232	8450.851992
233	8447.155483
234	8416.805253
235	8392.245842
236	8391.286244
237	8372.910087
238	8372.25538
239	8318.161165
240	8277.549612
241	8271.632102
242	8246.277178
243	8236.694708
244	8201.808331
245	8165.07217
246	8163.788243
247	8143.936809
248	8137.068106
249	8119.726216
250	8085.586674
251	8057.21454
252	8019.66451
253	8015.196952
254	7964.423798
255	7925.471594
256	7892.874332
257	7852.850215
258	7837.744043
259	7805.109264
260	7764.414113
261	7729.832374
262	7703.679359
263	7661.984593
264	7640.816848
265	7639.958626
266	7601.509414
267	7586.125575
268	7541.783801
269	7510.704676
270	7491.746257
271	7489.955242
272	7463.228323
273	7454.610229
274	7427.8223
275	7384.366151
276	7373.932956
277	7327.57954
278	7298.116917
279	7254.790115
280	7253.281109
281	7208.582954
282	7176.955019
283	7165.345134
284	7152.390273
285	7118.480427
286	7099.643612
287	7096.44885
288	7085.137096
289	7044.252906
290	7024.812039
291	7006.412733
292	6980.929184
293	6977.312637
294	6952.419417
295	6924.890772
296	6898.633671
297	6865.674083
298	6844.65532
299	6822.147478
300	6808.198678
301	6785.283377
302	6767.98484
303	6764.668505
304	6737.702432
305	6736.246407
306	6729.985122
307	6725.760577
308	6707.484095
309	6694.879025
310	6676.674381
311	6665.273147
312	6617.689387
313	6613.483829
314	6612.126523
315	6608.953029
316	6573.940556
317	6524.580695
318	6492.182581
319	6466.567218
320	6458.884926
321	6439.200605
322	6423.449599
323	6417.618254
324	6395.047448
325	6378.436485
326	6354.552923
327	6326.626383
328	6317.746241
329	6313.549209
330	6301.719803
331	6284.648616
332	6256.847589
333	6241.514855
334	6195.641087
335	6177.244037
336	6164.377066
337	6151.366229
338	6132.03931
339	6111.358162
340	6084.470688
341	6046.102117
342	6005.646263
343	5987.458266
344	5967.518619
345	5941.363149
346	5934.566696
347	5920.025189
348	5908.135118
349	5898.221741
350	5875.431436
351	5845.963052
352	5834.381215
353	5808.994797
354	5803.625321
355	5785.528228
356	5774.683462
357	5734.663891
358	5730.556341
359	5717.242456
360	5708.949033
361	5683.388486
362	5672.375805
363	5668.179054
364	5660.512288
365	5650.895883
366	5650.233707
367	5621.961534
368	5608.594067
369	5600.473944
370	5568.948911
371	5544.506456
372	5527.090598
373	5502.270337
374	5501.704382
375	5484.915899
376	5481.197932
377	5467.799917
378	5436.212289
379	5412.506566
380	5384.446684
381	5362.776924
382	5351.744551
383	5327.955557
384	5325.431505
385	5314.869942
386	5312.790655
387	5310.583525
388	5308.532343
389	5289.624963
390	5284.29285
391	5275.605484
392	5243.573959
393	5221.644815
394	5195.728962
395	5195.427669
396	5193.416933
397	5181.267232
398	5178.091637
399	5167.684636
400	5158.424487
401	5138.557715
402	5127.902026
403	5116.278629
404	5093.884678
405	5069.78177
406	5057.957844
407	5041.746357
408	5039.293702
409	5022.757605
410	5017.004921
411	5005.725737
412	4989.870396
413	4980.669422
414	4941.893049
415	4919.514327
416	4901.753252
417	4883.978058
418	4865.422885
419	4850.20097
420	4839.236906
421	4834.104054
422	4822.413713
423	4807.389964
424	4780.032449
425	4770.379216
426	4769.733045
427	4766.32094
428	4755.466221
429	4740.391757
430	4731.918442
431	4714.987839
432	4690.423332
433	4670.371733
434	4659.014353
435	4641.605657
436	4619.278642
437	4605.432693
438	4584.91133
439	4571.657827
440	4569.954719
441	4565.068298
442	4543.750873
443	4532.429407
444	4531.726786
445	4527.796629
446	4504.825909
447	4499.92025
448	4488.73722
449	4468.811686
450	4452.086583
451	4435.966743
452	4429.517081
453	4427.854701
454	4404.477129
455	4385.238248
456	4384.704705
457	4366.173838
458	4363.185568
459	4344.504362
460	4324.211014
461	4320.078597
462	4307.41034
463	4294.213439
464	4286.617371
465	4278.85556
466	4276.352845
467	4273.263679
468	4264.731714
469	4258.343713
470	4242.445101
471	4233.54068
472	4230.279566
473	4227.310196
474	4220.65538
475	4214.675731
476	4203.925764
477	4196.345965
478	4185.614379
479	4169.697119
480	4158.310629
481	4145.062563
482	4131.323455
483	4130.219188
484	4116.08284
485	4091.257458
486	4083.481803
487	4075.488368
488	4066.407606
489	4057.927855
490	4049.32975
491	4022.927073
492	4016.52001
493	4011.439632
494	4006.60328
495	3993.651605
496	3984.066636
497	3968.973715
498	3959.367198
499	3939.409077
