iter	Passed	Remaining
0	200	100026
1	259	64498
2	316	52390
3	369	45840
4	428	42386
5	489	40284
6	550	38748
7	609	37473
8	673	36762
9	735	36047
10	792	35218
11	849	34564
12	909	34067
13	974	33832
14	1036	33518
15	1093	33076
16	1152	32743
17	1185	31748
18	1235	31278
19	1298	31157
20	1358	30984
21	1424	30953
22	1468	30455
23	1519	30135
24	1579	30019
25	1636	29829
26	1691	29636
27	1747	29458
28	1815	29494
29	1856	29092
30	1911	28918
31	1969	28804
32	1995	28245
33	2043	28013
34	2111	28048
35	2179	28087
36	2240	28033
37	2303	28001
38	2361	27912
39	2423	27865
40	2483	27804
41	2520	27487
42	2573	27355
43	2630	27263
44	2693	27232
45	2727	26919
46	2785	26844
47	2849	26829
48	2907	26762
49	2970	26730
50	3029	26671
51	3090	26623
52	3149	26560
53	3215	26558
54	3276	26512
55	3337	26459
56	3396	26400
57	3458	26355
58	3521	26318
59	3583	26277
60	3639	26192
61	3700	26145
62	3758	26072
63	3827	26073
64	3886	26010
65	3947	25957
66	4025	26015
67	4086	25963
68	4149	25921
69	4213	25882
70	4276	25841
71	4337	25783
72	4396	25717
73	4459	25670
74	4515	25585
75	4540	25330
76	4590	25219
77	4646	25136
78	4703	25064
79	4761	24996
80	4823	24951
81	4889	24923
82	4952	24883
83	5019	24858
84	5075	24778
85	5130	24698
86	5192	24651
87	5256	24611
88	5319	24565
89	5383	24522
90	5441	24455
91	5505	24415
92	5563	24347
93	5619	24273
94	5679	24213
95	5740	24158
96	5807	24127
97	5873	24092
98	5931	24024
99	5991	23967
100	6055	23921
101	6112	23852
102	6175	23800
103	6234	23740
104	6305	23720
105	6373	23690
106	6434	23633
107	6499	23591
108	6557	23521
109	6617	23461
110	6675	23395
111	6733	23327
112	6790	23256
113	6848	23189
114	6905	23118
115	6960	23043
116	7014	22962
117	7069	22887
118	7133	22838
119	7188	22764
120	7246	22698
121	7302	22624
122	7360	22559
123	7434	22542
124	7494	22482
125	7560	22441
126	7622	22387
127	7680	22322
128	7736	22249
129	7794	22184
130	7851	22116
131	7916	22068
132	7988	22042
133	8052	21993
134	8129	21980
135	8196	21936
136	8257	21880
137	8321	21827
138	8386	21780
139	8450	21729
140	8516	21684
141	8580	21633
